seed,target_class,method,prune_ratio,kept_nodes,removed_nodes,test_accuracy,test_loss,params,param_reduction,macs_per_sample,mac_reduction,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
0,-1,random,0.1,115,13,0.9769,0.08620218505859376,231675,0.01476104207598683,231294,0.014730438931297662,0.9867346882820129,0.9903083443641663,0.9874030947685242,0.9702970385551453,0.9847250580787659,0.9786995649337769,0.9561586380004883,0.9795719981193542,0.9691991806030273,0.9633300304412842
0,-1,random,0.2,102,26,0.9727,0.096155615234375,228204,0.02952208415197366,227836,0.029460877862595436,0.9897959232330322,0.9911894202232361,0.9864341020584106,0.987128734588623,0.9714867472648621,0.9585201740264893,0.9540709853172302,0.9581711888313293,0.9466118812561035,0.9781962633132935
0,-1,random,0.3,90,38,0.957,0.13963466796875,225000,0.04314766145288462,224644,0.04305820610687028,0.9387755393981934,0.9920704960823059,0.9292635917663574,0.9564356207847595,0.9725050926208496,0.9943946003913879,0.8997912406921387,0.9708171486854553,0.953798770904541,0.959365725517273
0,-1,random,0.4,77,51,0.9465,0.16741575927734376,221529,0.05790870352887145,221186,0.05778864503816794,0.9897959232330322,0.9964757561683655,0.9670542478561401,0.8217821717262268,0.8991853594779968,0.9013453125953674,0.9405010342597961,0.9766536951065063,0.975359320640564,0.9851337671279907
0,-1,random,0.5,64,64,0.9362,0.194337109375,218058,0.07266974560485828,217728,0.0725190839694656,0.9979591965675354,0.9955947399139404,0.9224806427955627,0.8643564581871033,0.9439918398857117,0.8890134692192078,0.9457202553749084,0.9426069855690002,0.8880903720855713,0.9603567719459534
0,-1,weight,0.1,115,13,0.9796,0.08070360717773438,231675,0.01476104207598683,231294,0.014730438931297662,0.9897959232330322,0.9911894202232361,0.981589138507843,0.9821782112121582,0.9725050926208496,0.9730941653251648,0.980167031288147,0.9795719981193542,0.9733059406280518,0.9702675938606262
0,-1,weight,0.2,102,26,0.9758,0.09092670288085937,228204,0.02952208415197366,227836,0.029460877862595436,0.9918367266654968,0.9955947399139404,0.9699612259864807,0.9881188273429871,0.9592667818069458,0.9674887657165527,0.982254683971405,0.9640077948570251,0.9640657305717468,0.9722497463226318
0,-1,weight,0.3,90,38,0.9539,0.16995758056640625,225000,0.04314766145288462,224644,0.04305820610687028,0.9938775300979614,0.9973568320274353,0.8459302186965942,0.9851484894752502,0.9429734945297241,0.9405829310417175,0.9812108278274536,0.9066147804260254,0.966119110584259,0.9781962633132935
0,-1,weight,0.4,77,51,0.954,0.157442236328125,221529,0.05790870352887145,221186,0.05778864503816794,0.9918367266654968,0.9964757561683655,0.8653100728988647,0.986138641834259,0.9480651617050171,0.9551569223403931,0.9864300489425659,0.8998054265975952,0.9476386308670044,0.9633300304412842
0,-1,weight,0.5,64,64,0.9339,0.22020068359375,218058,0.07266974560485828,217728,0.0725190839694656,0.9918367266654968,0.9973568320274353,0.7848837375640869,0.9752475023269653,0.9419552087783813,0.963004469871521,0.9853861927986145,0.8618677258491516,0.8593429327011108,0.9801784157752991
